SITE_ID;PROGRAM_ID;DATE_SMP;SAMPLE_LOCATION;SAMPLE_TYPE;WATERBODY_TYPE;SAMPLE_DEPTH;TIME_SMP;ANC_UEQ_L;CA_UEQ_L;CHL_A_UG_L;CL_UEQ_L;COND_UM_CM;DOC_MG_L;F_UEQ_L;K_UEQ_L;MG_UEQ_L;NA_UEQ_L;NH4_UEQ_L;NO3_UEQ_L;N_TD_UEQ_L;PH_EQ;PH_FLD;PH_LAB;PH_STVL;P_TL_UEQ_L;SECCHI_M;SIO2_MG_L;SO4_UEQ_L;WTEMP_DEG_C
VT33;VTSSS;11/06/2020 00:00:00;Stream;Regular;Stream;;;256;233;;15;33;;;12;53;18;0;0;;;;7;;;;6;47;12
VT34;VTSSS;11/06/2020 00:00:00;Stream;Regular;Stream;;;49;61;;16;15;;;11;32;19;0;0;;;;6;;;;5;56;12
VT09;VTSSS;11/04/2020 00:00:00;Stream;Regular;Stream;;;14;39;;10;12;;;8;27;14;0;1;;;;6;;;;4;60;9
1C1-093;LTM_VT;11/04/2020 00:00:00;EPI;Regular;Lake;1;11:49;17;30;;12;11;3;;9;14;31;;1;;6;6;;6;8;;4;46;2
VT08;VTSSS;11/04/2020 00:00:00;Stream;Regular;Stream;;;22;54;;10;13;;;7;25;16;0;3;;;;6;;;;4;56;8
VT07;VTSSS;11/04/2020 00:00:00;Stream;Regular;Stream;;;3;38;;10;13;;;7;21;16;0;0;;;;5;;;;4;61;9
SK01;VTSSS;11/02/2020 00:00:00;Stream;Regular;Stream;;;133;110;;13;28;;;18;98;26;0;0;;;;7;;;;6;94;8
1C1-107;LTM_VT;10/30/2020 00:00:00;EPI;Regular;Lake;1;10:49;92;129;;13;18;7;;6;24;29;;3;;7;6;;7;6;;3;38;8
1C1-101;LTM_VT;10/29/2020 00:00:00;EPI;Regular;Lake;1;14:46;14;23;;10;9;8;;10;15;22;;1;;6;6;;6;14;;2;22;8
1C1-089;LTM_VT;10/29/2020 00:00:00;EPI;Regular;Lake;1;13:10;21;25;;5;9;7;;8;22;22;;1;;6;6;;6;9;;1;26;8
VT57;VTSSS;10/29/2020 00:00:00;Stream;Regular;Stream;;;60;55;;15;21;;;28;67;24;0;24;;;;6;;;;5;66;14
VT56;VTSSS;10/29/2020 00:00:00;Stream;Regular;Stream;;;14;20;;12;12;;;24;35;13;0;6;;;;6;;;;5;54;14
VT54;VTSSS;10/29/2020 00:00:00;Stream;Regular;Stream;;;123;101;;18;29;;;29;93;40;0;27;;;;7;;;;6;73;13
VT37;VTSSS;10/29/2020 00:00:00;Stream;Regular;Stream;;;47;40;;14;16;;;21;49;22;0;7;;;;6;;;;5;55;13
VT40;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;19;14;;16;11;;;23;23;24;0;0;;;;6;;;;5;46;14
VT61;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;385;196;;32;49;;;15;169;107;0;0;;;;7;;;;15;57;
VT31;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;3;16;;13;9;;;8;21;12;0;0;;;;5;;;;5;37;
VT77;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;59;27;;17;16;;;30;45;36;0;0;;;;7;;;;6;55;16
VT80;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;50;40;;14;15;;;14;56;23;0;0;;;;7;;;;6;62;13
VT32;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;16;50;;15;14;;;8;36;11;0;1;;;;6;;;;4;67;12
VT43;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;72;40;;17;11;;;8;15;43;0;0;;;;7;;;;7;10;14
VT49;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;84;71;;15;19;;;16;60;24;0;0;;;;7;;;;6;66;13
VT51;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;287;165;;31;42;;;20;149;72;0;0;;;;7;;;;11;79;
VT22;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;146;73;;23;23;;;16;54;76;0;0;;;;7;;;;12;41;14
VT23;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;153;72;;26;23;;;19;45;82;0;0;;;;7;;;;12;30;14
VT39;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;-1;11;;15;11;;;16;17;17;0;0;;;;5;;;;5;46;13
VT48;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;74;32;;18;19;;;42;50;37;0;0;;;;7;;;;8;60;14
VT63;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;113;66;;20;17;;;12;25;58;0;0;;;;7;;;;8;21;15
VT45;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;61;30;;23;18;;;33;56;36;0;0;;;;7;;;;7;63;16
VT44;VTSSS;10/28/2020 00:00:00;Stream;Regular;Stream;;;77;58;;18;16;;;11;22;55;0;0;;;;6;;;;8;33;15
MAD2;VTSSS;10/27/2020 00:00:00;Stream;Regular;Stream;;;156;72;;27;26;1;;32;96;46;0;0;;;;7;;;;8;54;13
1C3-076;LTM_VT;10/27/2020 00:00:00;EPI;Regular;Lake;0;11:03;-4;108;;1 528;194;3;;13;38;1 427;;1;;5;5;;5;5;;1;37;10
VT28;VTSSS;10/27/2020 00:00:00;Stream;Regular;Stream;;;15;20;;11;8;;;7;22;11;0;0;;;;6;;;;5;28;13
VT38;VTSSS;10/27/2020 00:00:00;Stream;Regular;Stream;;;97;74;;15;23;;;20;71;34;0;0;;;;7;;;;5;80;13
VT53;VTSSS;10/27/2020 00:00:00;Stream;Regular;Stream;;;28;30;;24;19;;;44;45;27;0;0;;;;6;;;;7;87;
WOR1;VTSSS;10/27/2020 00:00:00;Stream;Regular;Stream;;;40;31;;20;17;1;;39;47;22;0;0;;;;6;;;;5;73;13
VT36;VTSSS;10/27/2020 00:00:00;Stream;Regular;Stream;;;9;20;;20;15;;;32;32;21;0;0;;;;6;;;;6;72;
PAIN;VTSSS;10/27/2020 00:00:00;Stream;Regular;Stream;;;14;26;;22;18;1;;46;43;23;0;0;;;;6;;;;6;95;15
VT52;VTSSS;10/27/2020 00:00:00;Stream;Regular;Stream;;;150;148;;17;26;;;13;62;20;0;0;;;;7;;;;6;68;13
DR01;VTSSS;10/27/2020 00:00:00;Stream;Regular;Stream;;;20;20;;23;18;2;;52;37;24;0;0;;;;6;;;;7;86;13
VT26;VTSSS;10/27/2020 00:00:00;Stream;Regular;Stream;;;0;35;;16;13;;;9;27;12;0;0;;;;5;;;;5;66;13
1C1-090;LTM_VT;10/27/2020 00:00:00;EPI;Regular;Lake;1;12:28;54;59;;10;11;4;;10;24;24;;1;;7;6;;7;8;;2;24;11
VT65;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;81;52;;18;14;;;10;17;47;0;0;;;;7;;;;7;19;12
VT50;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;-2;22;;16;16;;;13;43;16;0;0;;;;5;;;;5;86;13
M004;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;88;126;;12;19;;;13;30;31;0;0;;;;7;;;;6;54;14
VT06;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;83;47;;10;17;;;19;54;29;0;0;;;;7;;;;6;48;14
VT11;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;38;31;;13;11;;;15;31;12;0;0;;;;6;;;;5;32;11
STAN;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;104;72;;21;19;1;;14;30;63;0;0;;;;7;;;;9;41;13
VT29;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;12;22;;14;10;;;12;23;10;0;2;;;;6;;;;4;31;13
VT24;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;33;52;;13;12;;;12;24;14;0;0;;;;6;;;;6;52;12
VT02;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;52;38;;10;13;;;14;21;46;0;4;;;;7;;;;8;45;12
VT04;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;48;33;;14;13;;;13;18;51;0;1;;;;6;;;;8;36;13
VT58;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;107;60;;22;18;;;13;36;61;0;0;;;;7;;;;10;32;14
VT01;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;115;80;;11;19;;;11;34;57;0;17;;;;7;;;;9;29;12
VT03;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;84;41;;10;14;;;20;40;32;0;0;;;;7;;;;7;27;12
VT62;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;121;62;;27;20;;;15;45;65;0;0;;;;7;;;;10;28;13
NFDR;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;89;77;;28;24;1;;12;43;75;0;5;;;;7;;;;10;78;11
VT25;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;12;19;;13;9;;;10;23;13;0;0;;;;6;;;;5;36;12
VT81;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;44;19;;16;9;;;8;23;34;0;0;;;;7;;;;6;17;14
1C1-112;LTM_VT;10/26/2020 00:00:00;EPI;Regular;Lake;1;15:02;95;98;;16;17;7;;11;35;32;;1;;7;6;;7;15;;3;32;
VT78;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;12;32;;10;10;;;10;25;13;0;0;;;;6;;;;4;50;14
VT05;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;74;29;;11;15;;;28;45;32;0;0;;;;7;;;;7;38;13
VT16;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;39;59;;16;15;;;17;30;14;0;0;;;;6;;;;5;58;
VT15;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;44;37;;14;13;;;19;38;17;0;0;;;;6;;;;6;46;13
VT12;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;196;124;;15;26;;;20;96;13;0;0;;;;7;;;;4;34;12
VT42;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;88;48;;19;15;;;11;28;50;0;4;;;;7;;;;8;18;12
1C1-095;LTM_VT;10/26/2020 00:00:00;EPI;Regular;Lake;1;12:04;36;122;;14;13;4;;8;22;39;;2;;7;6;;6;13;;5;52;9
VT14;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;34;31;;15;11;;;16;32;14;0;0;;;;6;;;;5;36;13
VT64;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;75;42;;18;12;;;11;17;39;0;0;;;;7;;;;6;10;12
VT75;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;167;112;;35;27;;;6;82;55;0;5;;;;7;;;;8;36;12
PINE;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;291;160;;30;38;1;;9;129;81;0;1;;;;7;;;;13;48;13
VT46;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;86;66;;23;17;;;8;22;59;0;0;;;;7;;;;8;37;14
VT66;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;190;118;;28;28;;;6;86;60;0;2;;;;7;;;;9;37;13
M003;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;69;69;;6;14;;;5;47;8;0;0;;;;7;;;;2;41;15
M002;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;-7;14;;11;11;;;7;15;9;0;0;;;;5;;;;4;38;13
VT10;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;40;34;;13;12;;;17;34;13;0;0;;;;6;;;;5;42;12
VT41;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;19;26;;16;12;;;20;25;18;0;0;;;;6;;;;5;48;12
VT76;VTSSS;10/26/2020 00:00:00;Stream;Regular;Stream;;;25;12;;19;12;;;31;27;24;0;0;;;;6;;;;7;46;15
