SITE_ID,LATDD,LONDD,SITE_ELEV,DATE_SMP,year,month,day,PROGRAM_ID,PARAMETER,VALUE,METHOD,METHOD_DESCRIPTION,SAMPLE_TYPE,SAMPLE_LOCATION,WATERBODY_TYPE
VT26,37.4215,-80.6049,725.1,2020-10-27 00:00:00,2020,10,27,VTSSS,PH_LAB,5.0,EPA 150.6,USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
1A3-048,43.69066,-75.06462,548.67,2020-09-14 00:00:00,2020,9,14,LTM_ALTM,CHL_A,3.0,"EPA 445.0, 10200H","Flourometery. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. ",Regular,EPI,Lake
VT52,38.5249,-78.6645,509.72,2020-10-27 00:00:00,2020,10,27,VTSSS,NO3,0.0,EPA 300.6,Dionex Ion Chromotography. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT32,37.3804,-80.5765,943.64,2020-10-28 00:00:00,2020,10,28,VTSSS,MG,36.0,EPA 1987,Atomic Absorption Spectroscopy. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
1C3-076,43.0817,-72.868,531.9,2020-10-27 00:00:00,2020,10,27,LTM_VT,K,13.0,"USEPA, 2007 Method 6010C","USEPA. 2007. Test Methods for Evaluating Solid Wastes, (SW846).",Regular,EPI,Lake
VT63,37.79,-79.1029,432.49,2020-10-28 00:00:00,2020,10,28,VTSSS,MG,25.0,EPA 1987,Atomic Absorption Spectroscopy. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT50,38.9049,-78.7308,525.9,2020-10-26 00:00:00,2020,10,26,VTSSS,NH4,0.0,Lachat 10-107-06-3-D,Lachat 10-107-06-3-D,Regular,Stream,Stream
SK01,38.3415,-79.6138,936.84,2020-11-02 00:00:00,2020,11,2,VTSSS,ANC,133.0,EPA 310.1 (modified),Modified Gran plot analysis. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
ME-2068,45.8378,-68.9322,181.3,2020-10-20 00:00:00,2020,10,20,LTM_ME,DOC,2.0,EPA 415.1,"High temperature combustion; IR Spectrophotometry. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.",Regular,EPI,Lake
VT61,38.693,-78.2741,333.86,2020-10-28 00:00:00,2020,10,28,VTSSS,ANC,385.0,EPA 310.1 (modified),Modified Gran plot analysis. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
040576,43.86566,-74.95512,600.68,2020-09-30 00:00:00,2020,9,30,LTM_ALTM,CHL_A,2.0,"EPA 445.0, 10200H","Flourometery. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. ",Regular,EPI,Lake
PAIN,38.1986,-78.7934,427.42,2020-10-27 00:00:00,2020,10,27,VTSSS,K,46.0,EPA 1987,Atomic Absorption Spectroscopy. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
1E1-132,44.6375,-68.0781,69.91,2020-10-22 00:00:00,2020,10,22,LTM_ME,N,103.0,Merriam et al. 1996,"High temperature combustion; Chemi-luminescence detection. Merriam, J., McDowell, W. H. & Currie, W. S. 1996. A high-temperature catalytic oxidation technique for determining total dissolved nitrogen. Soil Science Society of America Journal, 60, 1050-1055.",Annual,EPI,Lake
1C1-100,43.3139,-72.9305,789.01,2020-10-20 00:00:00,2020,10,20,LTM_VT,NO3,1.0,"USEPA, 1993 Method 300.0",USEPA. 1993. Methods for the determination of inorganic substances in envrionmental samples. A/600/R-93/100,Regular,EPI,Lake
040826,43.71301,-74.81246,575.29,2020-09-03 00:00:00,2020,9,3,LTM_ALTM,CA,98.0,"EPA 215.1, 3111 B","AAS Direct Aspiration. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American",Regular,EPI,Lake
1A1-106,43.79376,-74.87257,536.49,2020-09-08 00:00:00,2020,9,8,LTM_ALTM,K,6.0,"EPA 258.1, 3111 B","AAS Direct Aspiration. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. ",Regular,EPI,Lake
1C1-110,42.9167,-72.9167,907.89,2020-10-19 00:00:00,2020,10,19,LTM_VT,PH_FLD,6.0,"USEPA, 1983 Method 150.1",USEPA. 1983. Methods for chemical analysis of water and wastes. EPA-600/4-79-020.,Regular,EPI,Lake
VT54,38.6814,-79.0664,768.56,2020-10-29 00:00:00,2020,10,29,VTSSS,MG,93.0,EPA 1987,Atomic Absorption Spectroscopy. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT34,37.9289,-79.4552,388.23,2020-11-06 00:00:00,2020,11,6,VTSSS,ANC,49.0,EPA 310.1 (modified),Modified Gran plot analysis. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT56,38.4296,-79.1399,596.77,2020-10-29 00:00:00,2020,10,29,VTSSS,SIO2,5.0,"APHA 425C, APHA 1985","APHA 425C, APHA 1985",Regular,Stream,Stream
VT28,37.438,-80.5615,835.79,2020-10-27 00:00:00,2020,10,27,VTSSS,SIO2,5.0,"APHA 425C, APHA 1985","APHA 425C, APHA 1985",Regular,Stream,Stream
030172,44.66022,-74.49632,381.7,2020-09-17 00:00:00,2020,9,17,LTM_ALTM,P_TL,16.0,"EPA 365.3, 4500-P I","Block Digest Flow Inject. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. ",Regular,EPI,Lake
1C1-078,45.1272,-69.9781,383.12,2020-10-19 00:00:00,2020,10,19,LTM_ME,PH,6.0,Unknown,Unknown,Regular,EPI,Lake
1E2-060,46.0011,-68.5406,236.42,2020-10-20 00:00:00,2020,10,20,LTM_ME,DOC,12.0,EPA 415.1,"High temperature combustion; IR Spectrophotometry. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.",Regular,EPI,Lake
1E2-060,46.0011,-68.5406,236.42,2020-10-20 00:00:00,2020,10,20,LTM_ME,SIO2,2.0,EPA 370.1,"Molybdate colorimetric. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.",Regular,EPI,Lake
1A1-052,43.9823,-74.23556,515.77,2020-09-15 00:00:00,2020,9,15,LTM_ALTM,NH4,1.0,"EPA 350.1, 4500-NH3 G","Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th - 21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005.",Regular,EPI,Lake
1E1-132,44.6375,-68.0781,69.91,2020-10-22 00:00:00,2020,10,22,LTM_ME,CL,72.0,EPA 300.0,"Ion chromatography. Methods for the Determination of Inorganic Substances in Environmental Samples, EPA 600/R-93-100, 1993.",Annual,EPI,Lake
VT57,38.509,-79.0653,525.19,2020-10-29 00:00:00,2020,10,29,VTSSS,CL,15.0,EPA 300.6,Dionex Ion Chromotography. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT58,38.5705,-78.3044,339.38,2020-10-26 00:00:00,2020,10,26,VTSSS,MG,36.0,EPA 1987,Atomic Absorption Spectroscopy. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
ME-4474,44.7861,-68.1819,83.4,2020-10-23 00:00:00,2020,10,23,LTM_ME,PH_LAB,5.0,"Hillman et al 1986, EPA 150.1","Electrode. Hillman,D.C., J. Potter, and S. Simon, 1986.  Analytical methods for the National Surface Water Survey, Eastern Lake Survey.  EPA/600/4-86/009, EPA Las Vegas. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.",Regular,EPI,Lake
M003,36.9541,-81.8135,1076.89,2020-10-26 00:00:00,2020,10,26,VTSSS,ANC,69.0,EPA 310.1 (modified),Modified Gran plot analysis. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
1C3-076,43.0817,-72.868,531.9,2020-10-27 00:00:00,2020,10,27,LTM_VT,ANC,-4.0,"Pfeiffer and Festa, 1980 ","Pfeiffer, M. and P.J. Festa. 1980. Acidity status of lakes in the Adirondack Region of New York in relation to fish resource. NY DEC.",Regular,EPI,Lake
VT76,37.5734,-79.4907,319.36,2020-10-26 00:00:00,2020,10,26,VTSSS,WTEMP,15.0,Unknown,Unknown,Regular,Stream,Stream
VT03,36.6963,-81.5249,1120.61,2020-10-26 00:00:00,2020,10,26,VTSSS,ANC,84.0,EPA 310.1 (modified),Modified Gran plot analysis. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT15,37.9744,-79.7716,604.23,2020-10-26 00:00:00,2020,10,26,VTSSS,CA,37.0,EPA 1987,Atomic Absorption Spectroscopy. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
01434025,41.9953,-74.5014,635.05,2020-09-29 00:00:00,2020,9,29,LTM_CAT,K,6.0,Slavin 1968,"AAS. Slavin, W. 1968. Atomic Absorption Spectroscopy. Wiley Interscience. New York.",Regular,Stream,Stream
1C1-101,43.0811,-73.0186,802.1,2020-10-29 00:00:00,2020,10,29,LTM_VT,COND,9.0,APHA 2510B,"APHA .2005. Standard Methods for the examination of water and wastewater, 21st Ed. American Public Health Association, American Waterworks Association, Water Environment Federation, Washington, D.C.",Regular,EPI,Lake
STAN,38.4446,-78.3708,307.12,2020-10-26 00:00:00,2020,10,26,VTSSS,NO3,0.0,EPA 300.6,Dionex Ion Chromotography. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
04253712,43.78369,-74.83659,542.34,2020-09-10 00:00:00,2020,9,10,LTM_ALTM,PH_LAB,7.0,EPA AERP 05,"Open, stirred. Handbook of Methods for Acidic Deposition Studies: Laboratory Analysis for Surface Water Chemistry, EPA 600/4-87-026. ",Regular,EPI,Stream
VT12,38.0192,-79.7607,621.31,2020-10-26 00:00:00,2020,10,26,VTSSS,SIO2,4.0,"APHA 425C, APHA 1985","APHA 425C, APHA 1985",Regular,Stream,Stream
VT10,38.1653,-79.6709,741.57,2020-10-26 00:00:00,2020,10,26,VTSSS,CL,13.0,EPA 300.6,Dionex Ion Chromotography. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT07,37.0531,-81.4348,928.05,2020-11-04 00:00:00,2020,11,4,VTSSS,COND,13.0,EPA 120.6,"Eletrolytic, YSI. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ",Regular,Stream,Stream
PAIN,38.1986,-78.7934,427.42,2020-10-27 00:00:00,2020,10,27,VTSSS,CL,22.0,EPA 300.6,Dionex Ion Chromotography. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
VT42,37.5329,-79.4649,574.57,2020-10-26 00:00:00,2020,10,26,VTSSS,WTEMP,12.0,Unknown,Unknown,Regular,Stream,Stream
VT24,37.6153,-80.1776,560.86,2020-10-26 00:00:00,2020,10,26,VTSSS,CA,52.0,EPA 1987,Atomic Absorption Spectroscopy. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
